"Address","Town","Sector","Revenue","Name"
" ","Ceggia","Costruzioni & impiantistica","13.479","Seingim Global Service S.r.l."
"Frazione Martini - Strada Martini 2/D","Sanfrè","Costruzioni & impiantistica","9.720","Martino S.r.l."
" ","Napoli","Vendita al dettaglio & all'ingrosso","3.376","Fazio S.r.l."
" ","Tavagnacco","Automobili","22.704","Dealernet S.r.l."
" ","Arborea","Prodotti agricoli","1.589","Sarda Solution Unipersonale S.r.l."
"Via Nobel 2","Aversa","Costruzioni & impiantistica","1.573","GDR Costruzioni S.r.l."
"Via Tetto Nuovo 43","Poirino","E-commerce","1.979","Emporio Elettrico S.r.l."
" ","Bassano Del Grappa","Tecnologia","3.337","Crispy Bacon S.r.l."
"Strada Poggino, 70/72","Viterbo","Alimentari & bevande","4.134","Blife S.r.l."
"Via Marittima 69B","San Giorgio Di Nogaro","Tecnologia","4.785","Nohup S.r.l."
" ","Cervia","Tecnologia","3.059","Technacy S.r.l."
"Via Della Repubblica, 11/C","Tavazzano Con Villavesco","Prodotti industriali","2.021","Lazzari Macchine Utensili S.r.l."
" ","Milano","Energia","117.997","Adamant BioNRG S.r.l."
"Corso Giacomo Matteotti, 54","Brescia","Architettura","2.626","Pelizzari S.r.l."
" ","Correggio","Smaltimento rifiuti & riciclaggio","9.753","Consorzio Stabile Ambientemilia"
"Via Cairoli 142","Salice Salentino","E-commerce","3.294","Yocabe' S.r.l."
"Piazzale Donatello, 2","Firenze","Trasporti & logistica","2.415","Mint Italia S.r.l."
"Via Alfredo Baccarini, 46","Roma","Tecnologia","1.898","Datakey Software Engineering S.r.l."
"Corso Alcide De Gasperi, 169","Castellammare Di Stabia","Istruzione & formazione","2.793","Time Vision S.c.r.l"
"Via Edmondo Caccuri, 7","Bari","Energia","2.050","Selferg S.r.l."
" ","Milano","Servizi generali","1.580","Radar Consulting Italia S.r.l."
"Via Della Posta, 8","Milano","Metalli preziosi","41.130","Confinvest F.L. S.p.A."
"Viafrancesco Restelli, 3","Milano","Telecomunicazioni","71.291","Bomax S.r.l."
" ","Cardito","E-commerce","20.223","Gruppo Tera S.r.l."
" ","Castel Mella","Tecnologia","3.068","CodicePlastico S.r.l."
"Via Canale 300","Sant'Antonino Di Casalgrande","Chimica","2.780","Nanoprom Chemicals S.r.l."
" ","Milano","E-commerce","2.544","StampaSi S.r.l."
" ","Carmagnola","Prodotti industriali","12.280","C.A.M. S.r.l. Costruzione Attrezzature Meccaniche"
"Via Olindo Guerrini","Roma","Tecnologia","2.025","Engenie Group S.r.l."
" ","Montebello Vicentino","Prodotti industriali","1.791","Ilsman S.r.l."
" "," ","Media","1.514","La Sarraz Pictures S.r.l."
" "," ","Consulenza manageriale","2.430","Sidea Group S.r.l."
" "," ","Pubblicità & marketing","4.011","MGvision S.r.l."
" "," ","Servizi generali","1.539","New General Service S.r.l."
" "," ","Prodotti industriali","2.284","M.D.G. Components S.r.l. Unipersonale"
" "," ","Costruzioni & impiantistica","43.356","Manelli Impresa S.r.l."
" "," ","Automobili","11.790","Finauto S.p.A."
" "," ","Energia","7.624","GeoTeam S.p.a."
" "," ","Immobiliare","3.729","Fisenar S.r.l."
" "," ","Energia","41.475","B1gas S.p.A"
" "," "," ","6.189","Filva S.r.l."
" ","Torino","Costruzioni & impiantistica","3.515","Archingest S.r.l."
" ","La Spezia","Alimentari & bevande","3.055","Pharmateam S.r.l."
" "," ","Consulenza manageriale","4.090","F&R Consulting S.r.l."
" "," "," ","2.075","TIkato S.r.l."
" ","Milano","Energia","2.347","Suntronic S.r.l."
" ","Barberino Di Mugello","Smaltimento rifiuti & riciclaggio","3.680","Smile Ambiente S.r.l."
" "," ","Automobili","2.794","RR 1985 S.r.l."
" "," ","Alimentari & bevande","26.824","Emilia Foods S.r.l."
" "," ","Sanità","3.370","T.E.A.M. - Ti educa a migliorare Soc. Coop. Sociale"
" "," ","Costruzioni & impiantistica","2.676","Assitech S.r.l."
" "," ","Energia","3.299","Alba S.r.l."
" ","Poggio Torriana","Costruzioni & impiantistica","4.028","Global Edilizia S.r.l."
" "," ","Pubblicità & marketing","4.014","LGS Organization S.r.l."
" "," ","Servizi finanziari","5.855","GDB S.r.l."
" "," ","Costruzioni & impiantistica","5.293","ALA S.r.l."
" "," "," ","10.190","Join Business Management Consulting S.r.l."
" "," "," ","2.009","Costruzioni F.lli Urso S.r.l.s."
" "," ","Trasporti & logistica","57.057","Adrilog Società Cooperativa"
" "," ","Costruzioni & impiantistica","33.372","Conglomerati Bituminosi S.r.l."
" "," ","Tecnologia","3.869","Esyen S.r.l."
" "," "," ","2.803","Armonie Alimentari S.r.l."
" "," ","Tecnologia","5.313","Maverick Group S.r.l."
" "," "," ","4.264","Brain Pull Società Cooperativa"
" ","Medesano - Località Felegara","Costruzioni & impiantistica","2.554","F.G. Service S.r.l."
" "," "," ","9.569","Allways Logistics System S.r.l."
" "," ","Tecnologia","2.131","Visualitics S.r.l."
" "," "," ","20.746","GDA S.r.l."
" "," ","Tecnologia","2.696","Nexid S.r.l."
" "," ","Energia","2.087","GS Service S.r.l."
" "," ","Tecnologia","16.367","Neosperience S.p.A."
" "," ","Costruzioni & impiantistica","10.456","Meic Costruzioni S.r.l."
" "," ","Servizi generali","2.129","Gruppo Ingegneria Gestionale S.r.l."
" "," "," "," ","3A Informatica S.r.l."
" "," ","Costruzioni & impiantistica","6.738","Saico S.r.l."
" "," "," ","6.567","Nutis S.r.l."
" "," "," ","3.352","Enhancers S.p.A."
" "," ","Prodotti industriali","9.481","Next Turbo Technologies S.p.A."
" "," "," ","5.411","Velvet Media Italia"
" "," ","E-commerce","44.091","Farmacosmo S.r.l."
" ","Gaiarine","Arredamento","2.201","Maxfel S.r.l."
" "," ","Prodotti industriali","3.835","Manitech S.r.l."
" "," ","Prodotti industriali","5.890","Tradeco S.r.l."
" "," ","Arredamento","11.898","G.D. & C. S.r.l."
" "," "," "," ",""
" "," "," "," ",""
" "," "," "," ","Agile Lab S.r.l."
" "," "," ","2.412","Way2Global S.r.l. SB"
" "," "," "," ",""
" "," ","Bellezza & igiene","1.659","Capelli For You S.r.l."
" "," "," "," ",""
" "," "," "," ",""
" "," ","Servizi generali","1.513","Pirene S.r.l."
" "," ","Prodotti industriali","4.504","Cepo S.r.l."
" "," ","Tecnologia","1.640","Nemesi Italia S.r.l."
" "," "," "," ","Giopato & Coombes S.r.l"
" "," ","Sanità","2.436","Salus Sempione S.r.l.s."
" "," ","Arredamento","6.364","Zinox Laser S.r.l."
" "," ","Prodotti industriali","4.988","Tera Automation S.r.l."
" "," "," ","8.792","Innova Hts S.r.l."
" "," ","Sanità","11.281","LM Medical Division S.r.l."
" "," "," "," ",""
" "," ","Automobili","2.791","Autonova Milano S.r.l."
" "," "," ","1.610","Albamatic S.r.l."
" "," ","Istruzione & formazione","34.411","Campustore S.r.l."
" "," ","Servizi generali","2.835","Cemir Security S.r.l."
" "," ","Servizi generali","5.502","Proteko S.p.A."
" "," "," "," ","Consorzio Nazionale Qualità S.c.r.l."
" "," "," ","16.505","G.Engineering S.r.l."
" "," ","E-commerce","25.356","Giglio.com S.r.l."
" "," ","Alimentari & bevande","2.357","Reveg Fruit S.r.l."
" "," ","Telecomunicazioni","3.348","Democom S.r.l."
" "," ","Farmaceutica","4.021","Erbagil S.r.l."
" "," ","Automobili","5.394","Advanced Composites Solutions S.r.l."
" "," ","Viaggi & tempo libero","5.195","Spartivento Group S.r.l."
" "," ","Trasporti & logistica","14.113","LMM Logistics S.p.A."
" "," "," ","2.127","Nuova MG S.r.l."
" "," ","Servizi generali","1.880","Radit S.r.l."
" "," "," ","2.685","Welol Next S.r.l."
" "," ","Sanità","6.377","Aferetica S.r.l."
" ","Collegno","Energia","42.000","Ubroker S.r.l."
" "," ","Servizi generali","2.805","3E Studio S.r.l."
" "," "," ","23.579","Nice Footwear S.p.A."
" "," ","Bellezza & igiene","6.305","La Saponaria S.r.l."
" "," ","Ristoranti","1.672","Arte e Passione S.r.l."
" ","Treviso","Tecnologia","37.386","Targa Telematics S.p.A."
" "," ","Tecnologia","2.011","Soteco Engineering S.r.l."
" "," ","Energia","1.711","Energetic Efficiency S.r.l."
" "," ","Trasporti & logistica","5.278","Marfreight S.r.l."
" "," ","Moda","3.356","Confezioni Velvet S.r.l."
" "," ","E-commerce","5.300","Family Nation S.r.l."
" "," ","E-commerce","2.349","Fashion commerce S.r.l."
" "," ","Prodotti industriali","3.407","Wingeco S.r.l."
" "," "," "," ","Idropower S.r.l."
" "," "," ","2.739","Archita Engineering S.r.l."
" "," ","Servizi generali","1.731","Digitalpa S.r.l."
" "," "," ","24.742","Laca Trade S.r.l."
" "," "," ","5.927","Coolshop S.r.l."
" ","San Cesareo","E-commerce","8.995","DND Distribuzione S.r.l."
" ","Parma","Istruzione & formazione","2.137","osteocom.net S.r.l."
" "," "," ","2.657","Buildo S.r.l."
" "," "," ","23.803","Nova S.r.l."
" "," ","Immobiliare","26.774","GVA Redilco S.p.A."
" "," ","Trasporti & logistica","10.606","Power Marine Shipyard S.r.l."
" "," ","Prodotti industriali","17.369","Almac S.r.l."
" "," ","Servizi generali","1.782","H501 S.r.l."
" ","Viillanova D'Albenga","Servizi finanziari","13.906","We-Unit Group S.p.A."
" "," ","Tecnologia","6.085","Synesthesia S.r.l."
" "," ","Tecnologia","1.823","Kwantis S.r.l."
" "," ","Costruzioni & impiantistica","2.307","W.E.E. Water Environment Energy S.r.l."
" ","Milano","Tecnologia","63.701","Growens S.p.A."
" "," "," ","2.527","Azerouno S.r.l."
" "," ","Alimentari & bevande","22.147","Reparo S.r.l."
" "," "," ","12.317","Epaper S.r.l."
" "," ","Servizi generali","3.401","Prime Solution Soc. Consortile Cooperativa"
" "," ","Servizi generali","10.808","C&P S.r.l."
" "," "," ","1.641","Koki S.r.l."
" "," "," ","6.959","Mylav S.r.l.u."
" "," ","Sanità","4.401","Gruppo Europeo di Ortodonzia S.r.l."
" "," ","Media","8.541","Cookies Factory S.r.l."
" "," ","Consulenza manageriale","1.757","Future Age S.r.l."
" ","Erba","Prodotti industriali","2.099","Novatec Engineering S.r.l."
" "," "," ","20.099","SWS Engineering S.p.A."
" "," ","Pubblicità & marketing","3.412","Noonic S.r.l."
" "," "," ","3.647","A.B. Pharm S.r.l."
" "," "," ","83.814","Gima S.p.a."
" "," ","Bellezza & igiene","2.097","Redcoil S.r.l."
" "," ","Ristoranti","7.272","Nima Sushi Italia S.r.l."
" "," "," "," ","Ti Style iT S.r.l."
" "," ","Costruzioni & impiantistica","2.376","Isoltech Società Cooperativa"
" "," "," ","12.958","Italfrutta Distribuzioni S.r.l."
" "," ","Prodotti agricoli","5.113","Cast Group S.r.l."
" "," "," ","68.627","Union Gas Metano S.p.A."
" "," ","Costruzioni & impiantistica","149.520","Impresa Percassi S.p.A."
" "," "," ","13.709","Carimi S.r.l."
" ","Mosciano S.A.","Prodotti industriali","3.102","Nova Cartotecnica Roberto S.r.l."
" "," "," "," ","Innate S.r.l."
" "," ","Prodotti industriali","25.575","Italcarrelli S.p.A."
" "," "," ","2.568","C 41 S.r.l."
" ","Scarperia E San Piero","Tecnologia","13.124","Temera S.r.l."
" "," ","Istruzione & formazione","5.200","Begear S.r.l."
" "," ","Prodotti industriali","2.103","Lift Up S.r.l."
" ","Pozzuolo Martesana","Prodotti industriali","6.714","Iwe S.r.l."
" "," ","Tecnologia","958.660","Zucchetti"
" "," ","Prodotti industriali","5.266","General Service S.r.l."
" "," ","Arredamento","15.865","Paolini S.p.A."
" "," ","Alimentari & bevande","10.039","Deangelis S.r.l."
" "," ","E-commerce","4.874","Ausilium S.r.l."
" ","Milano","Pubblicità & marketing","3.090","Ready 2 Fly S.r.l."
" "," ","Tecnologia","10.470","Citel Group S.r.l."
" "," ","Alimentari & bevande","43.748","Mare Gioioso S.r.l. Di Sebastiano"
" ","Parma","Alimentari & bevande","82.586","Gandolfi International Trading S.r.l."
" "," ","Tecnologia","2.101","Smartblue S.r.l."
" "," ","Tecnologia","3.755","Antreem S.r.l."
" "," ","Pubblicità & marketing","57.006","Promotica S.p.A."
" "," ","Arredamento","7.978","Tenda Sistem S.r.l."
" "," ","Costruzioni & impiantistica","1.558","DI2 S.r.l."
" "," ","Servizi generali","2.646","La Rosa dei Venti - Società Cooperativa di Servizi"
" "," "," "," ",""
" "," ","Servizi generali","3.337","Indoor Ambiente S.r.l."
" "," ","Arredamento","9.359","The Italian Decking Company S.p.A."
" ","Roma","Costruzioni & impiantistica","24.809","Impre.do S.r.l."
" ","Arcore","Ristoranti","7.006","Ristoservice S.r.l."
" "," ","Pubblicità & marketing","22.282","Webranking S.r.l."
" "," ","Farmaceutica","8.204","Kolinpharma S.p.A"
" "," ","Arredamento","7.007","San Marco S.r.l."
" "," ","Costruzioni & impiantistica","5.132","Mancusimmobiliare S.r.l."
" "," ","Costruzioni & impiantistica","5.825","Seriana Edilizia S.r.l."
" ","Pescantina","Istruzione & formazione","1.588","Bambi & Bimbi S.r.l."
" "," ","Costruzioni & impiantistica","2.200","C. Costruzioni S.r.l."
" "," ","Energia","4.574","Ecotek S.r.l."
" "," ","E-commerce","6.105","Mentor S.r.l."
" ","Avellino","Farmaceutica","4.238","Agaton S.r.l."
" "," ","Farmaceutica","10.848","Pharma Niche Products S.r.l."
" "," ","Prodotti industriali","3.235","RGM Commerciale S.r.l."
" "," ","Automobili","65.226","Motorsclub S.r.l."
" "," "," ","35.729","Tservice S.p.A."
" ","Milano","E-commerce","4.250","Frhome S.r.l."
" ","Milano","Pubblicità & marketing","1.604","Jungle S.r.l."
" "," "," "," ","Digital Angels srl a socio unico"
" "," "," ","55.609","Farmacia S.Caterina S.r.l."
" "," ","Automobili","21.090","Lever Touch S.r.l."
" "," ","Pubblicità & marketing","2.700","Playground S.r.l"
" "," ","Tecnologia","1.948","Mitobit S.r.l."
" "," ","Energia","95.639","NWG Energia S.p.a. Società Benefit"
" "," ","Arredamento","8.834","Vanita Docce S.r.l."
" "," ","Prodotti industriali","5.592","Tecnomacchine S.r.l."
" "," ","Consulenza manageriale","6.393","Mind The Value S.r.l."
" "," ","Arredamento","7.138","Palumbo S.r.l."
" ","Gruaro","Bellezza & igiene","16.959","Trilab S.r.l."
" "," ","Prodotti industriali","9.967","Fusar Bassini Management S.r.l."
" "," ","Chimica","8.289","Agenzia Chimica Italiana S.r.l."
" ","Putignano","Prodotti industriali","2.100","Joker Imballaggi S.r.l."
" "," ","Arredamento","6.294","Glamora S.r.l."
" ","Cervinara","E-commerce","1.880","Hidrobrico S.r.l."
" "," ","Moda","4.200","Dolly Noire S.r.l."
" ","Zagarolo","Tecnologia","4.151","Intent S.r.l."
" ","Novoli","Arredamento","50.038","Deghi S.p.A."
"Via Silvio Pellico 19","Saluzzo","Energia","48.568","Eviso S.p.A."
" "," ","Arredamento","4.258","International Design S.r.l."
" ","Roma","Sicurezza informatica","8.399","Information Sharing Company S.r.l."
" "," ","Telecomunicazioni","6.108","Consorzio HQ"
" "," ","Pubblicità & marketing","8.782","Caffeina S.p.A."
"Via Dei Santi, 149","Brescia","Prodotti industriali","3.325","DGS S.r.l."
" "," ","Prodotti industriali","8.388","General S.r.l."
" "," ","Costruzioni & impiantistica","3.351","Air Innovation S.r.l."
" "," ","Prodotti industriali","5.958","Green Gear Trasmissioni S.r.l."
" "," ","Consulenza manageriale","2.317","Arpe Group S.r.l."
" "," ","Costruzioni & impiantistica","9.390","FBG S.r.l."
" ","Bari","Tecnologia","5.383","Idea75 S.r.l."
" "," ","Servizi finanziari","35.226","Signor Prestito S.p.A."
" "," ","Sicurezza informatica","2.532","Verxo S.r.l."
" ","Monza","E-commerce","6.222","Import For Me S.r.l."
" "," ","Tecnologia","34.014","Translated S.r.l."
" ","Roma","Servizi generali","4.210","Utopia Lab S.r.l."
" "," ","Sicurezza informatica","2.839","Next04 S.r.l."
" "," ","Prodotti agricoli","6.908","Ribotta Group Società Cooperativa Agricola"
" "," ","Telecomunicazioni","1.774","Link.it S.r.l."
" "," ","Arredamento","3.884","Decor Leader S.r.l."
" "," ","Costruzioni & impiantistica","3.798","Global Sistemi S.r.l."
" "," ","Prodotti industriali","2.428","Fimarsud S.r.l."
" "," ","Moda","13.501","Modo Eyewear S.r.l."
" "," ","Alimentari & bevande","1.614","Dea Terra S.r.l."
" ","Milano","Tecnologia","21.385","Lab ID S.r.l."
" "," ","Energia","4.230","CMP S.c.r.l."
" "," ","Prodotti industriali","4.719","Imperialgroup S.r.l."
" "," ","Tecnologia","133.691","Unitec S.p.A."
" "," ","Automobili","2.360","Bylogix S.r.l."
" "," ","Costruzioni & impiantistica","1.584","Aesse Vita S.r.l."
" ","San Paolo D'Argon","Chimica","7.504","Itaflon S.r.l."
" "," ","Costruzioni & impiantistica","7.162","Teicos Ue S.r.l."
" "," "," ","3.565","Ghilardi Selezioni S.r.l."
" "," ","Servizi generali","1.686","IQM selezione S.r.l."
" "," ","E-commerce","8.273","Drop S.r.l."
" "," ","Arredamento","1.657","Iocoli S.r.l."
" ","Cimitile","Costruzioni & impiantistica","23.734","Edil San Felice S.p.A."
" ","Padova","Tecnologia","3.119","Keytech S.r.l."
" ","Reggio nell'Emilia","Pubblicità & marketing","1.522","Lovemark S.r.l."
" "," "," ","4.931","HiFuture S.r.l."
" "," ","Tecnologia","4.460","Edilclima S.r.l."
" "," ","Prodotti industriali","3.632","Sitem S.r.l."
" "," ","Tecnologia","8.861","Venticento S.r.l."
" "," ","Alimentari & bevande","13.337","Acetificio Andrea Milano"
" ","Verona","Costruzioni & impiantistica","1.958","Ferretti Costruzioni S.r.l."
" "," ","Beni personali","24.646","Graziani S.r.l."
" "," ","Tecnofinanza","3.978","Fairmat S.r.l."
" "," ","Tecnologia","6.913","Infoteam S.r.l."
" "," ","Tecnologia","29.035","Piramis S.r.l."
" "," ","Servizi generali","1.782","Disa S.r.l."
" "," ","Alimentari & bevande","43.383","Latentia Winery S.p.A."
" ","Bergamo","Pubblicità & marketing","1.521","Publifarm S.r.l."
" "," ","Costruzioni & impiantistica","2.175","GS Elettrotecnica Automazioni Industriali S.r.l."
" "," ","Sanità","8.322","Hospital Forniture S.r.l."
" "," ","Difesa & Aerospaziale","17.347","Civitanavi Systems"
" "," ","Tecnologia","8.250","Soluzioni Prodotti Sistemi S.r.l."
" "," ","Trasporti & logistica","6.824","Freedom in Sales S.r.l."
" "," ","Sanità","5.623","Predict S.r.l."
" "," ","Servizi finanziari","3.197","PrestitoSì Finance S.p.A."
" "," ","Tecnologia","2.398","Webformat S.r.l."
" "," ","Servizi finanziari","2.312","Accounting Partners S.p.A."
" "," ","Servizi finanziari","3.947","LVenture Group S.p.A."
" "," "," ","19.015","Lombardini22 S.p.A."
" ","Milano","Costruzioni & impiantistica","14.386","Kostruire S.r.l."
" "," ","Servizi generali","5.444","Materia Prima S.r.l."
"Via Torquato Tasso,5","Barlassina","Servizi generali","5.624","QSGroup S.r.l. Unipersonale"
" "," ","Vendita al dettaglio & all'ingrosso","4.270","Superior S.r.l."
" ","Villafranca Di Verona","Alimentari & bevande","6.071","LikeMore Italia S.r.l."
" ","Roma","Costruzioni & impiantistica","4.030","Imprendiroma S.r.l."
" ","Pontecagnano Faiano","Prodotti industriali","4.629","Maf S.r.l"
" "," ","Energia","22.649","Comal S.p.A."
" "," ","Energia","2.975","Trigenia S.r.l."
" ","Conegliano","Servizi generali","38.616","Tempi Moderni S.p.A."
" "," ","Alimentari & bevande","31.536","Foodlab S.r.l."
" "," ","Vendita al dettaglio & all'ingrosso","1.531","Adisport S.r.l."
" "," ","Automobili","4.964","Ycom S.r.l."
" "," ","Alimentari & bevande","2.200","ReinaGreen Italia S.r.l."
" ","Nola","Trasporti & logistica","32.953","Tgroup S.p.A."
" "," ","Costruzioni & impiantistica","8.826","Compagnia Appalti e Progettazione S.r.l."
" "," ","Arredamento","4.428","Castellani.it S.r.l."
" "," "," ","37.490","Società e Salute S.p.A."
" "," ","Tecnologia","20.350","S2E Sprint S.r.l."
